node,lagoon,station,season,date_collected,water_column_position,ammonia_umol_N_L,phosphate_umol_P_L,silicate_umol_SiO2_L,nitrate_nitrite_umol_N_L,flag_NH3,flag_PO4,flag_SiO2,flag_NO23,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALS2,open water,2019-08-08,surface,0.4,0.2,3.4,0,VALID,VALID,VALID,BD,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JAR1,open water,2018-07-23,surface,0.2,NA,NA,3.6,VALID,NS,NS,VALID,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,break up,2019-06-22,surface,NA,0.1,9.2,NA,BD,BD,VALID,BD,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Kaktovik,KALD1,open water,2018-08-03,bottom,0.2,1.3,NA,1.4,VALID,VALID,NS,VALID,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2018-08-03,surface,NA,0,NA,1.4,NS,VALID,NS,VALID,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,bottom,3.1,4.5,15.7,5,VALID,VALID,VALID,VALID,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,surface,2.5,4.4,9.7,2.1,VALID,VALID,VALID,VALID,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08,bottom,0.5,0.4,3.3,0,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08,surface,0.6,0.2,2.5,NA,VALID,VALID,VALID,HIGH,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD2,open water,2018-08-04,bottom,0.1,1.3,NA,1.4,VALID,VALID,NS,VALID,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-04,surface,0.1,NA,NA,1.4,VALID,NS,NS,VALID,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,bottom,4.4,4,21.8,3.6,VALID,VALID,VALID,VALID,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,surface,1.5,4.9,12.1,2.1,VALID,VALID,VALID,VALID,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21,bottom,0.6,4.3,0.1,NA,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21,surface,0.2,0.7,3.2,0,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08,bottom,0.8,0.5,3.6,1.4,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08,surface,0.6,0.3,3.1,NA,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALS1,open water,2018-08-03,surface,0,0,NA,1.4,VALID,VALID,NS,VALID,pump,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS1,open water,2019-08-10,surface,0.7,0.4,5.5,0.7,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS2,open water,2018-08-03,surface,0,0.1,NA,1.4,VALID,VALID,NS,VALID,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,break up,2019-06-23,surface,1.3,1.8,2.8,NA,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,open water,2019-08-10,surface,0.6,0.3,5.2,0,VALID,VALID,VALID,BD,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,not applicable,Beaufort2018,open water,2018-08-04,surface,0.3,3.7,NA,2.9,VALID,VALID,NS,VALID,pump,"Beaufort Sea, sampling site 2018",70.13337,-143.70329,ocean,ocean
East,not applicable,Beaufort2019,open water,2019-08-05,surface,0.9,0.4,4.9,0,VALID,VALID,VALID,BD,pump,"Beaufort Sea, sampling site 2019",70.44325,-148.739283,ocean,ocean
West,Elson East,AVR1,open water,2018-07-26,surface,9.5,NA,NA,NA,VALID,NS,NS,HIGH,pump,Avak Creek Station 1,71.14711,-156.19139,river,river
West,Elson East,AVR1,open water,2019-08-05,surface,7.2,1.3,1.6,0.7,VALID,VALID,VALID,BD,pump,Avak Creek Station 1,71.14711,-156.19139,river,river
West,Elson East,EELD1,under ice,2019-04-16,bottom,2,5.6,22.3,4.3,VALID,VALID,VALID,VALID,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,under ice,2019-04-16,surface,2.7,6.1,23.7,2.9,VALID,VALID,VALID,VALID,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,bottom,0.8,0.7,2.4,0.7,VALID,VALID,VALID,BD,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,surface,0.8,0.9,2.6,0.7,VALID,VALID,VALID,BD,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD2,open water,2019-07-31,bottom,0.6,1,2.9,1.4,VALID,VALID,VALID,BD,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-07-31,surface,0.6,0.8,2.1,0.7,VALID,VALID,VALID,BD,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELS1,break up,2019-06-22,surface,NA,5.3,0.6,2.1,HIGH,VALID,VALID,VALID,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS1,open water,2019-07-31,surface,1.1,0.9,2.7,0.7,VALID,VALID,VALID,BD,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS2,open water,2019-07-31,surface,0.9,0.6,2.2,0,VALID,VALID,VALID,BD,pump,Elson East Lagoon Shallow Station 2,71.24097,-156.09151,lagoon,secondary
