node,lagoon,station,season,date_time,water_column_position,chlorophyll_a_ug_L,conductivity_uS_cm,depth_m,DO_concentration_mg_L,DO_saturation_percent,phycoerythrin_ug_L,pH,salinity,specific_conductivity_uS_cm,temperature_C,notes,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALS1,open water,2019-08-09T21:50:00Z,surface,1.01,26773,0.19,10.14,101.2,3.61,7.45,24.89,39366,8.2,NA,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS2,open water,2018-08-01T23:00:00Z,surface,3.67,3103,0.029,11.01,98,8.46,8.18,2.35,4402,9.5,NA,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-23T19:15:00Z,surface,1.2,4921,0.3,10.55,104,3.96,8.21,3.44,6269,13.7,NA,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-09T20:45:00Z,surface,1.9,27612,0.33,10.05,99.5,4.26,7.41,26.33,41494,7.5,NA,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JAR1,open water,2018-07-31T23:30:00Z,surface,2.14,177.1,0,10.5,100.5,5.72,7.9,0.11,227.9,13.3,NA,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,break up,2019-06-22T23:45:00Z,surface,0.84,187.2,NA,10.15,105.9,3.22,8.94,0.1,219.3,17.4,NA,Jago River Station 1,70.09164,-143.31685,river,river
East,Kaktovik,KALD1,open water,2018-08-03T18:09:00Z,surface,1.45,6383,0.013,11.22,98.4,3.84,7.92,5.28,9408,8.2,NA,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2018-08-03T18:16:00Z,bottom,4.83,30008,2.788,17.86,177.4,10.56,8.15,29.33,45859,7,NA,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28T19:47:00Z,bottom,0.27,30540,2.38,8.18,70.2,3.75,7.33,39.33,62650,-1.8,NA,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28T19:47:00Z,surface,0.25,29248,1.47,12.39,104.4,4.47,7.59,37.86,60667,-2.1,NA,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08T20:00:00Z,bottom,1.53,28391,3.3,9.83,100.7,3.18,7.71,25.93,40791,9.1,No time recorded. Noon time 12:00 appended to maintain date time format.,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08T20:00:00Z,surface,1.15,28398,0.1,9.87,101.1,3.37,7.68,25.94,40806,9.1,No time recorded. Noon time 12:00 appended to maintain date time format.,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD2,open water,2018-08-04T18:39:00Z,surface,1.92,6942,0.016,11.54,99.1,4.68,7.94,5.99,10604,6.9,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-04T18:43:00Z,bottom,5,35555,2.657,12.45,127.4,9.85,7.78,36.28,55694,6.1,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26T06:07:00Z,bottom,0.6,31012,2.9,4.95,42.7,5.7,7.12,39.7,63061,-1.6,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26T06:07:00Z,surface,0,29606,1.6,11.07,94.1,3.68,7.39,38.15,60999,-1.9,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21T22:40:00Z,bottom,3.6,31977,3.3,17.47,155.6,8.95,7.67,39.03,61359,-0.1,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21T22:40:00Z,surface,1.15,4615,0.3,13.34,101.7,4.72,7.68,4.38,8008,2.8,NA,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08T20:00:00Z,bottom,1.61,28427,3.1,9.67,99.1,3.59,7.89,25.98,40882,9.1,No time recorded. Noon time 12:00 appended to maintain date time format.,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08T20:00:00Z,surface,1.2,28422,0.1,9.66,99,3.45,7.82,25.96,40845,9.1,No time recorded. Noon time 12:00 appended to maintain date time format.,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALS1,open water,2018-08-03T19:46:00Z,surface,2.62,4360,0.002,11.91,100.1,5.3,8.1,3.9,7102,6.8,NA,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS1,open water,2019-08-10T21:05:00Z,surface,2.26,26249,0.1,9.93,98,4.92,7.18,24.63,39041,7.8,NA,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS2,open water,2018-08-03T20:39:00Z,surface,2.17,7287,0.019,11.66,100,4.41,8.01,6.3,111,7,NA,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,break up,2019-06-23T20:45:00Z,surface,1.32,9196,0.3,12.93,111.1,4.16,8.1,8.17,14172,6.6,NA,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,open water,2019-08-10T20:15:00Z,surface,2.89,26094,0.26,9.99,97.7,4.9,7.22,24.74,39195,7.5,NA,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,not applicable,Beaufort2018,open water,2018-08-05T03:06:00Z,surface,3.11,24701,3.277,12.47,100.9,4.35,7.85,30.77,49990,-1.5,NA,"Beaufort Sea, sampling site 2018",70.13337,-143.70329,ocean,ocean
East,not applicable,Beaufort2019,open water,2019-08-05T22:34:00Z,surface,24.86,26489,2.58,10.49,99.2,68.57,7.87,26.64,42235,5.4,NA,"Beaufort Sea, sampling site 2019",70.44325,-148.739283,ocean,ocean
East,not applicable,Beaufort2019,open water,2019-08-05T22:34:00Z,surface,1.82,26366,0.27,10.12,100.7,5.57,7.88,24.51,38837,8.2,NA,"Beaufort Sea, sampling site 2019",70.44325,-148.739283,ocean,ocean
West,Elson East,AVR1,open water,2019-08-05T18:32:00Z,surface,4.08,157,NA,10.78,92,5.62,8.01,0.11,234,8.4,NA,Avak Creek Station 1,71.14711,-156.19139,river,river
West,Elson East,EELD1,under ice,2019-04-16T20:25:00Z,bottom,0.63,27750,2.9,10.41,86.8,2.14,7.38,35.34,56927,-1.8,NA,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,under ice,2019-04-16T20:25:00Z,surface,0.44,27273,1.5,10.64,88.2,2.09,7.46,34.87,56225,-2,NA,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-08-01T03:32:00Z,bottom,1.5,26903,1.9,10.33,104.7,1.6,7.95,24.55,38600,9.1,NA,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-08-01T03:32:00Z,surface,1,26767,0.09,9.91,105.4,1.43,7.92,23.55,37317,10.5,NA,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD2,open water,2019-08-01T02:08:00Z,bottom,4.18,27339,1.8,9.98,99,5.85,7.84,25.89,40847,7.7,NA,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-08-01T02:08:00Z,surface,3.19,27260,0.07,10.02,103.9,3.9,7.76,23.94,37940,10.3,NA,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-08-13T04:15:00Z,bottom,2.76,29584,2.2,9.51,97.3,4.39,7.96,27.53,43223,8.5,NA,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-08-13T04:15:00Z,surface,3.82,21714,0.3,10.48,101.4,5.76,7.97,19.72,31837,8.4,NA,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELS1,break up,2019-06-22T08:00:00Z,surface,1.9,2752,0.1,12.99,95.8,4.15,7.42,2.59,4893,2.1,NA,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS1,open water,2019-08-01T03:07:00Z,surface,3,27168,0.08,9.99,103.9,3.9,7.92,23.5,37175,10.9,NA,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS2,open water,2019-08-01T01:34:00Z,surface,2.74,26490,0.04,9.96,103.6,3.26,7.8,22.88,36344,10.8,NA,Elson East Lagoon Shallow Station 2,71.24097,-156.09151,lagoon,secondary
West,Elson East,NNR1,break up,2019-06-20T08:00:00Z,surface,2.7,89,NA,9.03,90.5,2.6,7.47,0.05,109.1,15.7,NA,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson East,NNR1,open water,2019-08-02T19:15:00Z,surface,NA,NA,NA,10.38,55.5,NA,6.95,NA,113.5,8.4,NA,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson West,EWLD1,open water,2018-07-28T19:40:00Z,bottom,2.3,-99999,2.6,10.32,99.9,4.6,7.94,27.49,43337,6.2,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-28T19:40:00Z,surface,1.21,-99999,0.16,10.42,101.1,3.71,7.78,27,42601,6.4,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-29T19:38:00Z,bottom,2.12,-99999,3.3,10.76,105.6,5.17,7.91,27.31,43003,6.8,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-29T19:38:00Z,surface,0.73,-99999,0.05,10.25,100.9,1.84,7.91,26.91,42396,7.1,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14T02:30:00Z,bottom,0.39,27164,2.06,9.79,80.6,1.6,7.62,34.6,55933,-2,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14T02:30:00Z,surface,0.3,27126,1.05,10.46,86.5,1.5,7.69,34.68,55975,-2,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24T02:10:00Z,bottom,19.7,9590,2.39,10.91,80,51.47,7.2,10.54,18426,-0.3,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24T02:10:00Z,surface,0.73,3302,0.76,13.15,93.4,1.8,8.6,3.28,6184,0.6,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24T23:06:00Z,bottom,3,4887,2.5,11.71,83.6,14.49,7.73,6.67,9488,-0.2,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24T23:06:00Z,surface,2.37,3155,0.65,13.18,92.4,5.1,7.56,3.18,5494,0.1,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05T23:50:00Z,bottom,2.1,33385,0.21,10.35,111.1,4.1,8.04,30.31,46911,9.9,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05T23:50:00Z,surface,2.27,33171,2.46,9.47,101.5,3.05,7.98,30.1,46604,9.9,NA,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD2,open water,2018-07-29T18:36:00Z,bottom,1.92,28894,3.6,11.39,109.2,2.81,7.99,29.39,46280,5.4,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2018-07-29T18:36:00Z,surface,0.75,-99999,0.05,11.16,103.8,1.78,7.82,18.89,41794,6.9,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
