node,lagoon,station,season,date_collected,pigment,areal_concentration_mg_m2,mass_concentration_ug_g,flag,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Stefansson,STLD1,break up,2019-06-26,Peridinin,0.0888854252345104,0.00169605471754374,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,Fucoxanthin,11.4814090263396,0.21908088859108,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,Alloxanthin,0.135958906626403,0.00259428072001021,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,Zeaxanthin,0.426067433857986,0.00812994570572214,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,Chlorophyllide,0.737178390296354,0.0140663655850745,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,Pheophorbide,4.13742897026427,0.0789477679271354,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Chlorophyllide,6.09584396704401,0.102884046677626,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Pheophorbide,9.42078465152772,0.159001518586712,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Chlorophyll a,179.132115396187,3.02334459699436,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Pheophytin,34.5573122409187,0.583249201401733,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Peridinin,0.200308534074239,0.00338075460609507,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Fucoxanthin,71.5326129704276,1.20730857476177,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Alloxanthin,0.378867070995937,0.00639441849688015,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,break up,2019-06-26,Zeaxanthin,1.17885686697218,0.0198964352735261,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Alloxanthin,0.470206879057923,0.00984507278750133,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Zeaxanthin,1.02321065012683,0.0214237259727634,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Chlorophyllide,7.7312518998877104,0.161874998182505,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Pheophorbide,12.5270012311644,0.2622871855406,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Chlorophyll a,86.7800268160737,1.81697826756022,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
